ach 51053376f3b4
af 9699e648d04f
an 35bf2af54c6e
ar 11e28461eedd
as f48681f3cb1c
ast a0365b2d2204
az c9f8178b760e
be 6a81fe13730e
bg f5f7827ddaf6
bn-BD 40173c2773dc
bn-IN 8a4d7efa4656
br 87dd84f3fb15
bs f9194e1b9d1f
ca 2393377daf04
cak 358337cd8e62
cs b2f2d66e474f
cy cd528119b1f0
da 3d4f38f6c602
de c4580757245b
dsb 6cae073a841f
el 7c198d3d5d8c
en-GB 108b5a928fb5
en-ZA 5b50bebf4e4f
eo eb148ada0d56
es-AR 08d927e7ad92
es-CL 02584a2d25b7
es-ES 1c9d3c3c689d
es-MX 6435282dbc75
et e29f6a05d5a8
eu 756e60b234ec
fa 8aee74bd73fe
ff b529c4fc084b
fi 124ad6d2caeb
fr 87ec33d89386
fy-NL 3705ebdd28f5
ga-IE 2453123d83ab
gd da7de9b6e635
gl 99003c9cd063
gn 54547111d875
gu-IN 88180147b7f5
he 9837e2cc4a95
hi-IN e1dddb32c7d0
hr 1699e5d11dfc
hsb b779311b0bd0
hu 5f446a971f03
hy-AM 024da8b34b46
id 0f0141ed9bb6
is 4b3c58c9d645
it 6e2c7978b0e7
ja f30c0c2f2bc4
ja-JP-mac 4230da7b0695
ka 6650158784f6
kab 6b3c6e707013
kk 1e85339bcb5c
km d934d1e2fbba
kn 9d356f38d208
ko 6370c2a0f030
lij 0ab26fda46bc
lt 450e1219d46f
lv 78a846f93b16
mai 53cf7cd14176
mk 3d22bc5b8e99
ml 128c7b806403
mr 074d705e44b7
ms 7fa602755a3b
my eee9ab816d7c
nb-NO 963968719128
ne-NP c318f683bdb7
nl fca30e75c8a2
nn-NO 484b14dee153
or 9420e75f84ba
pa-IN 5634ac6e7d9b
pl 45fa8ed87819
pt-BR 38d2f920e7b1
pt-PT 60446c901737
rm cf0859e63177
ro 7fea5671214f
ru 67b070efcbd9
si 5b5533ef2e97
sk 4c17a502b748
sl 8c446da2c7c5
son 914d74ec145e
sq 704b52416e5e
sr cbf4a5eafb4d
sv-SE 2e8d40795c69
ta 26d7cbe37e4a
te 9338813fedc1
th aa91b43781fe
tr a392fcf83ab9
uk 214311bf7877
ur 60247a51a921
uz 51175e255277
vi 2731355cccc7
xh a756d272d1fe
zh-CN 9ab59b4c446a
zh-TW a56ff00fa7b0

